Epoch,Train_Loss,Val_Loss,Learning_Rate
1,3.859232,3.402627,0.00099606
2,3.257225,3.172675,0.00098429
3,3.120044,3.091333,0.00096489
4,3.071384,3.058363,0.00093816
5,3.048597,3.041128,0.00090452
6,3.035567,3.030685,0.0008645
7,3.027469,3.02512,0.00081873
8,3.021811,3.020361,0.00076794
9,3.017638,3.017032,0.00071292
10,3.014205,3.011658,0.00065454
11,3.011296,3.015378,0.00059373
12,3.008629,3.004947,0.00053144
13,3.007212,2.948016,0.00046866
14,2.996443,2.955392,0.00040637
15,2.989679,3.040473,0.00034556
16,2.975649,2.952981,0.00028718
17,2.96459,2.98729,0.00023216
18,2.958845,2.978455,0.00018137
19,2.954046,2.994424,0.0001356
20,2.949108,2.999844,9.558e-05
21,2.94576,2.967619,6.194e-05
22,2.94491,2.965155,3.521e-05
23,2.944209,2.971616,1.581e-05
24,2.941517,2.963598,4.04e-06
25,2.940672,2.965735,1e-07
