Epoch,Train_Loss,Val_Loss,Learning_Rate
1,3.058198,2.804255,0.000100
2,2.814996,2.758797,0.000100
3,2.741217,2.661626,0.000098
4,2.685870,2.816915,0.000096
5,2.654300,2.649417,0.000094
6,2.472527,2.054795,0.000090
7,2.133608,2.054806,0.000086
8,1.960288,1.996089,0.000082
9,1.909511,2.163526,0.000077
10,1.884790,1.964609,0.000071
11,1.834066,1.876702,0.000065
12,1.812518,1.853392,0.000059
13,1.762617,1.850012,0.000053
14,1.768960,1.912562,0.000047
15,1.732491,1.829446,0.000041
16,1.722236,1.848563,0.000035
17,1.695567,1.846199,0.000029
18,1.687257,1.834330,0.000023
19,1.672175,1.808750,0.000018
20,1.656764,1.840727,0.000014
21,1.652818,1.788709,0.000010
22,1.638756,1.802537,0.000006
23,1.627323,1.794412,0.000004
24,1.632596,1.795102,0.000002
25,1.622461,1.794148,0.000000
