Epoch,Train_Loss,Val_Loss,Learning_Rate
1,3.077755,3.099684,0.000100
2,2.815101,2.897318,0.000100
3,2.742429,2.767313,0.000098
4,2.690927,2.679405,0.000096
5,2.640633,2.486308,0.000094
6,2.308068,2.137254,0.000090
7,2.049102,1.998357,0.000086
8,1.971727,2.001639,0.000082
9,1.920597,1.943433,0.000077
10,1.886932,1.987942,0.000071
11,1.851310,1.930664,0.000065
12,1.819959,1.879366,0.000059
13,1.793381,1.890581,0.000053
14,1.763552,1.889836,0.000047
15,1.753261,1.868690,0.000041
16,1.729354,1.838374,0.000035
17,1.702822,1.837494,0.000029
18,1.695449,1.847212,0.000023
19,1.672443,1.880844,0.000018
20,1.661575,1.851672,0.000014
21,1.649319,1.852024,0.000010
22,1.640967,1.834913,0.000006
23,1.630197,1.839363,0.000004
24,1.630003,1.836188,0.000002
25,1.622291,1.843570,0.000000
