Epoch,Train_Loss,Val_Loss,Learning_Rate
1,3.536211,3.240147,0.000100
2,3.025995,2.837139,0.000100
3,2.814485,2.718415,0.000098
4,2.726154,2.657666,0.000096
5,2.681002,2.646660,0.000094
6,2.644089,2.603634,0.000090
7,2.379717,2.439920,0.000086
8,2.048319,1.930262,0.000082
9,1.966880,1.974296,0.000077
10,1.910618,1.878030,0.000071
11,1.871140,1.882585,0.000065
12,1.831828,1.892545,0.000059
13,1.814803,1.907738,0.000053
14,1.805524,1.880351,0.000047
15,1.783381,1.927015,0.000041
16,1.752560,1.888262,0.000035
17,1.746171,1.823722,0.000029
18,1.726794,1.820408,0.000023
19,1.716283,1.823224,0.000018
20,1.707902,1.812541,0.000014
21,1.704759,1.822228,0.000010
22,1.685305,1.821190,0.000006
23,1.684209,1.810362,0.000004
24,1.677246,1.818460,0.000002
25,1.673541,1.809765,0.000000
