Epoch,Train_Loss,Val_Loss,LR
1,2.543432,2.159092,0.000800
2,2.130829,2.074864,0.000795
3,2.057161,2.149144,0.000780
4,1.953762,2.094964,0.000756
5,1.893136,1.897665,0.000724
6,1.906679,1.939126,0.000683
7,1.831051,2.156720,0.000635
8,1.774677,1.827612,0.000582
9,1.763536,2.023882,0.000524
10,1.767882,1.780527,0.000463
11,1.707981,1.815142,0.000400
12,1.627983,1.846849,0.000337
13,1.633523,1.878713,0.000276
14,1.572795,1.786406,0.000218
15,1.543463,1.899314,0.000165
16,1.517436,1.803290,0.000117
17,1.471408,1.764315,0.000076
18,1.463764,1.722566,0.000044
19,1.450418,1.717886,0.000020
20,1.416722,1.709745,0.000005
