Epoch,Train_Loss,Val_Loss,Learning_Rate
1,3.050689,2.934911,0.000100
2,2.829931,2.787652,0.000100
3,2.753057,2.676149,0.000099
4,2.702725,2.704389,0.000098
5,2.665349,2.663769,0.000096
6,2.570468,2.239163,0.000093
7,2.179112,2.037841,0.000090
8,1.997936,1.951514,0.000087
9,1.926962,1.904913,0.000083
10,1.890428,1.923807,0.000079
11,1.869033,2.069241,0.000075
12,1.855492,1.913517,0.000070
13,1.812233,1.906868,0.000065
14,1.785475,1.902011,0.000060
15,1.783009,1.859956,0.000055
16,1.754669,1.862613,0.000050
17,1.753016,1.872677,0.000045
18,1.725930,1.827155,0.000040
19,1.690229,1.848861,0.000035
20,1.683294,1.825468,0.000030
21,1.669269,1.815599,0.000025
22,1.652773,1.832383,0.000021
23,1.641171,1.843636,0.000017
24,1.632417,1.850312,0.000013
25,1.628433,1.829305,0.000010
26,1.617232,1.837491,0.000007
27,1.608174,1.849289,0.000004
28,1.607950,1.831274,0.000003
29,1.598738,1.830549,0.000001
30,1.597273,1.829617,0.000000
