Epoch,Train_Loss,Val_Loss,Learning_Rate
1,3.030395,2.921631,0.000100
2,2.825811,2.930480,0.000100
3,2.750818,2.738827,0.000100
4,2.712070,2.685937,0.000099
5,2.679204,2.813569,0.000099
6,2.486425,2.120037,0.000098
7,2.116422,2.010219,0.000098
8,1.998759,1.951950,0.000097
9,1.944280,1.912871,0.000096
10,1.925607,1.951597,0.000095
11,1.896857,2.072508,0.000093
12,1.882126,1.938226,0.000092
13,1.857603,1.913629,0.000090
14,1.846423,1.971272,0.000089
15,1.833679,1.879909,0.000087
16,1.803919,2.011156,0.000085
17,1.773557,1.853798,0.000083
18,1.766362,1.901923,0.000081
19,1.750970,1.848394,0.000079
20,1.729356,1.877909,0.000077
21,1.723093,1.861561,0.000075
22,1.714105,1.836022,0.000073
23,1.716096,1.927491,0.000070
24,1.702052,1.843254,0.000068
25,1.675750,1.912638,0.000065
26,1.664795,1.890060,0.000063
27,1.661964,2.018218,0.000060
28,1.643326,1.927398,0.000058
29,1.635558,1.806033,0.000055
30,1.607760,1.878992,0.000053
31,1.602553,1.897800,0.000050
32,1.599563,1.848391,0.000047
33,1.585253,1.852107,0.000045
34,1.570015,1.852460,0.000042
35,1.561174,1.815777,0.000040
36,1.540208,1.879383,0.000037
37,1.537213,1.831998,0.000035
38,1.525772,1.921844,0.000032
39,1.511899,1.915978,0.000030
